# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG047A TMCC1 Gen3 - Probe.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-12-17 10:03:32 AM EST
# Run End Date/Time: 2020-12-17 12:00:16 PM EST
# Run Duration: 116 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:05:44 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:53 PM EDT
"Well","Well Position","Cycle Number","HEX","ROX"
"7","A7","17","73604.61","187577.7"
"7","A7","18","81013.74","187626.33"
"7","A7","19","88166.664","187792.53"
"7","A7","20","94299.98","187964.1"
"7","A7","21","99555.484","187957.14"
"7","A7","22","104356.14","188100.8"
"7","A7","23","108464.75","188056.16"
"7","A7","24","111787.72","188132.78"
"7","A7","25","114531.516","188264.52"
"7","A7","26","116952.56","188222.45"
"7","A7","27","118995.46","188323.19"
"7","A7","28","120513.45","188251.56"
"7","A7","29","121708.31","188115.5"
"7","A7","30","122705.12","188110.16"
"7","A7","31","123676.56","188239.0"
"7","A7","32","124536.67","188265.06"
"7","A7","33","125115.77","188548.94"
"7","A7","34","125600.445","188569.89"
"7","A7","35","126151.71","188465.38"
"7","A7","36","126807.22","188387.55"
"7","A7","37","127122.15","188547.47"
"7","A7","38","127303.22","188621.97"
"7","A7","39","127955.81","188544.78"
"7","A7","40","128532.44","188385.83"
"7","A7","41","128910.98","188277.88"
"7","A7","42","129195.65","188353.14"
"7","A7","43","129594.62","188496.27"
"7","A7","44","130115.03","188557.08"
"7","A7","45","130699.54","188595.69"
"7","A7","46","131226.28","188479.2"
"7","A7","47","131961.88","188395.3"
"7","A7","48","132467.61","188310.77"
"7","A7","49","133075.8","188287.34"
"7","A7","50","133928.78","188465.45"
"7","A7","51","135263.42","188535.48"
"7","A7","52","137134.0","188452.25"
"7","A7","53","139370.81","188493.0"
"7","A7","54","142111.95","188435.08"
"7","A7","55","145300.42","188498.53"
"7","A7","56","148550.95","188475.83"
"7","A7","57","152090.88","188735.97"
"7","A7","58","155656.05","188871.44"
"7","A7","59","159285.08","188953.05"
"7","A7","60","162684.8","189061.53"
"7","A7","61","166134.28","189148.62"
"7","A7","62","169589.16","189253.52"
"7","A7","63","172782.08","189092.36"
"7","A7","64","175786.02","188927.94"
"7","A7","65","178993.25","188951.8"
"7","A7","66","181951.03","189055.08"
"7","A7","67","184964.92","189187.08"
"7","A7","68","188160.27","189154.58"
"7","A7","69","190964.53","189293.78"
"7","A7","70","193840.47","189474.36"
"7","A7","71","196696.39","189696.62"
"7","A7","72","199533.64","189872.2"
"7","A7","73","202208.53","189818.83"
"7","A7","74","204572.23","189912.02"
"7","A7","75","207226.05","189984.88"
"7","A7","76","209857.47","190065.0"
"7","A7","77","212163.33","189954.02"
"7","A7","78","214630.12","189896.83"
"7","A7","79","217466.08","189705.77"
"7","A7","80","220744.5","189463.28"
"7","A7","81","224276.66","189162.66"
"7","A7","82","227799.62","188883.08"
"7","A7","83","230143.95","188709.03"
"7","A7","84","232029.8","188642.61"
"7","A7","85","233790.89","188415.47"
"7","A7","86","235572.69","188195.86"
"7","A7","87","236854.84","188085.3"
"7","A7","88","237890.0","188222.8"
"7","A7","89","238574.02","188322.03"
"7","A7","90","239438.67","188227.6"
"8","A8","1","22860.053","170021.27"
"8","A8","2","22899.672","170101.64"
"8","A8","3","22960.184","170687.1"
"8","A8","4","23066.973","170774.53"
"8","A8","5","23238.9","170716.5"
"8","A8","6","23544.1","170780.77"
"8","A8","7","23816.902","170698.02"
"8","A8","8","24692.691","170638.05"
"8","A8","9","26307.068","170771.48"
"8","A8","10","28506.832","170835.45"
"8","A8","11","31769.377","170680.73"
"8","A8","12","36422.055","170608.52"
"8","A8","13","42511.86","170770.0"
"8","A8","14","49351.004","170958.9"
"8","A8","15","56604.65","171000.72"
"8","A8","16","63933.72","171034.64"
"8","A8","17","70696.98","171294.06"
"8","A8","18","77150.63","171320.95"
"8","A8","19","82963.195","171299.03"
"8","A8","20","88457.086","171217.69"
"8","A8","21","93165.41","171147.5"
