,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.5,S057.3.2,S057.4.2,log$_{1}$$_{0}$ S036.5,log$_{1}$$_{0}$ S057.3.2,log$_{1}$$_{0}$ S057.4.2
199,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,10,-0.000428931,0.000650776,100000000,100,100,8,2,2
200,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,11,0.001895859,0.034683533012866974,100000000,100,100,8,2,2
201,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,11,6.405064008867932e-05,8.29007985885255e-05,100000000,100,100,8,2,2
202,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,12,0.001655823,0.028025377541780472,100000000,100,100,8,2,2
203,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,12,-0.000351239,0.000330297,100000000,100,100,8,2,2
204,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,13,0.002284683,0.022701594978570938,100000000,100,100,8,2,2
205,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,13,0.000232932,-0.00031943,100000000,100,100,8,2,2
206,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,14,0.002962776,0.017453419044613838,100000000,100,100,8,2,2
207,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,14,0.00052408,-0.000706138,100000000,100,100,8,2,2
208,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,15,0.003436366,0.011891186237335205,100000000,100,100,8,2,2
209,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,15,0.000229014,-0.000566655,100000000,100,100,8,2,2
210,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,16,0.00428863,0.006910487,100000000,100,100,8,2,2
211,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,16,-0.000194376,-0.000311987,100000000,100,100,8,2,2
212,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,17,0.004223502,0.000520942,100000000,100,100,8,2,2
213,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,17,-0.000142117,-0.000484266,100000000,100,100,8,2,2
214,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,18,0.00432424,-0.005613883,100000000,100,100,8,2,2
215,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,18,0.000571276,-0.001249985,100000000,100,100,8,2,2
216,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,19,0.005098821,-0.010713882,100000000,100,100,8,2,2
217,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,19,0.000597041,-0.001398482,100000000,100,100,8,2,2
218,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,20,0.005131889,-0.016952626,100000000,100,100,8,2,2
219,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,20,-0.000555298,-0.000489503,100000000,100,100,8,2,2
220,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,21,0.005968473,-0.021957407,100000000,100,100,8,2,2
221,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,21,0.000766171,-0.001801036,100000000,100,100,8,2,2
222,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,22,0.007347927,-0.026128497,100000000,100,100,8,2,2
223,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,22,0.001002785,-0.002138793,100000000,100,100,8,2,2
224,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,23,0.008044728,-0.031347942,100000000,100,100,8,2,2
225,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,23,-3.57E-05,-0.001332022,100000000,100,100,8,2,2
226,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,24,0.010021176410126367,-0.034602225,100000000,100,100,8,2,2
227,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,24,-0.000112418,-0.00138852,100000000,100,100,8,2,2
228,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,25,0.011462245,-0.038678691,100000000,100,100,8,2,2
229,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,25,-0.000606545,-0.001070357,100000000,100,100,8,2,2
230,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,26,0.014987952590843744,-0.039553761,100000000,100,100,8,2,2
231,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,26,-0.00103563,-0.000810578,100000000,100,100,8,2,2
232,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,27,0.017635003250194334,-0.041778196,100000000,100,100,8,2,2
233,JG071B,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071B.000,UNKNOWN,,35.766888,45,27,-0.001842968,-0.000211275,100000000,100,100,8,2,2
234,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,28,0.020665948252320494,-0.043413077,100000000,100,100,8,2,2
