,Target,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ
79,S056.4.1,181.5,25252525.0,5.0,80.0,0.3375,-5.4535216481833855,0.886431214986046,0.0034281056348970476,0.8349559831149784,0.1830512855095687,21.670469375746833
80,S056.4.10,55.5,25252525.0,5.0,500.0,0.418,-4.23384265521914,0.5618792295115,0.01846234766329646,0.45180637006420954,0.34853690255715253,30.603339370706195
81,S056.4.11,57.5,25252525.0,5.0,88.0,0.4318181818181818,-5.169283304245882,0.7297977228438416,0.006451742295751077,0.7099533878241523,0.2274545503816685,24.176213981699526
82,S056.4.12,59.5,25252525.0,5.0,88.0,0.25,-5.519783433389146,0.7899999442041057,0.006923411369576907,0.7978972572271312,0.19352683848146868,22.96581635308849
83,S056.4.2,183.5,25252525.0,5.0,232.0,0.41379310344827586,-4.50323874630091,1.2743220693038655,0.006328894613525143,0.6165135535472372,0.2753412951237021,24.161609857907052
84,S056.4.3,173.53333333333333,26936020.0,5.2,272.0,0.672794117647059,-3.9022435147539274,1.5279660165000384,0.010056528288579695,0.4766294385043161,0.3454507409764776,26.95348469488569
85,S056.4.4,187.5,25252525.0,5.0,152.0,0.20394736842105263,-5.113768275770514,1.072130309638422,0.004908895773471835,0.7356950294956129,0.21999787885057576,23.094739069139187
86,S056.4.5,163.78571428571428,28860014.285714287,5.428571428571429,49.0,0.7551020408163265,-5.0811193975779725,0.539177930422325,0.009822183823389244,0.5461436236287598,0.29334057711028294,30.38993705625612
87,S056.4.6,191.5,25252525.0,5.0,152.0,0.5921052631578947,-4.047896030459299,1.2157004320861735,0.007606706531671746,0.5344807601092556,0.31638818362144183,24.98597277456724
88,S056.4.7,181.5,33670000.0,6.0,84.0,0.7976190476190478,-6.017538601732263,0.8828053092171791,0.010565170914042887,0.801528565075234,0.18515020932561954,24.925593667207238
89,S056.4.8,195.5,25252525.0,5.0,36.0,0.4444444444444444,-6.121905125908206,0.7427778080345491,0.007759370793664006,0.8243984937726825,0.17853574413763285,24.62855659100747
90,S056.4.9,53.5,25252525.0,5.0,80.0,0.425,-5.348360658803894,0.5088033906231701,0.00569150107646095,0.7634240602190374,0.20747483570780284,23.28107331778568
91,S057.0.0,37.5,25252525.0,5.0,92.0,0.45652173913043476,-4.07274675877652,0.6233775074665497,0.011432152020172868,0.6769741151524049,0.25792842514095843,19.94941943765243
92,S057.0.1,39.5,25252525.0,5.0,100.0,0.48,-4.223340847072565,0.6259966304123645,0.012493996824444702,0.6437632900499015,0.2687147825093393,21.77002247247086
93,S057.0.2,41.5,25252525.0,5.0,103.0,0.44660194174757284,-4.282624183041369,0.634386806758492,0.012324777617576301,0.6597020305470231,0.26057023050790057,21.586938368917743
94,S057.1.0,44.5,25252525.0,5.0,93.0,0.4946236559139785,-4.236643301603445,0.49091111056157954,0.007929062019118312,0.6360245766979342,0.269122743839625,22.10679115867324
95,S057.1.1,46.5,25252525.0,5.0,113.0,0.48672566371681414,-3.756110480633767,0.4793943443001166,0.00858666456006358,0.5838054153994492,0.30145599529608447,21.336898788770384
96,S057.1.2,48.5,25252525.0,5.0,111.0,0.4594594594594595,-4.263635219296772,0.5047045060423878,0.00752763105395139,0.6501529463399436,0.2638888267137956,21.790112244400536
97,S057.2.0,51.5,25252525.0,5.0,49.0,0.6938775510204082,-4.652827676401517,0.5915955064376028,0.032625462155935,0.6602481550933483,0.2546004032905355,23.39881192394524
98,S057.2.1,53.5,25252525.0,5.0,461.0,0.5054229934924078,-3.885790549060111,0.5109930391454087,0.034298083864813735,0.5183486306670402,0.32436037588563454,24.822991339197145
99,S057.2.2,55.5,25252525.0,5.0,331.0,0.5166163141993958,-3.86009324162657,0.5094947021611026,0.03883147525497476,0.5876183304676258,0.29593388726225184,21.76992785101957
100,S057.2.4,57.5,25252525.0,5.0,380.0,0.4868421052631579,-4.376616312549109,0.4528714339928045,0.06326531809513168,0.5901984346524927,0.28273776134403883,24.56792658755598
101,S057.3.0,181.5,25252525.0,5.0,90.0,0.45555555555555555,-3.6078285624882644,0.8535535841208564,0.008478441645572108,0.5779113526376979,0.30770613320407564,20.78356995990397
102,S057.3.1,183.5,25252525.0,5.0,98.0,0.5714285714285714,-3.613288950493588,0.8601763563253438,0.008711873457287812,0.5230092167573057,0.3331270656878076,22.924519578218376
103,S057.3.2,185.5,25252525.0,5.0,115.0,0.5217391304347826,-3.4645673810420052,0.821692361911743,0.009910789605393405,0.5188966415737053,0.3359153952604096,22.16568029765053
104,S057.3.4,187.5,25252525.0,5.0,85.0,0.5294117647058824,-3.7548910515588103,0.8739154808798388,0.008051762636129924,0.6043429080085228,0.2942448925119041,20.62799886237522
105,S057.4.0,190.5,25252525.0,5.0,87.0,0.5517241379310345,-4.617223444393144,0.5443066069117289,0.00896872395133669,0.5801975335678711,0.2846505529246642,26.43769085753246
106,S057.4.1,192.5,25252525.0,5.0,167.0,0.5508982035928144,-3.958593173208584,0.5527518796364654,0.010010420807274501,0.48177871680812756,0.3403152468412005,27.124814893215007
107,S057.4.2,194.5,25252525.0,5.0,221.0,0.502262443438914,-3.8978731959637987,0.5361637211712429,0.010652604053100706,0.4970232777847193,0.3337359872247495,26.004630649254693
108,S057.5.0,199.86666666666667,20269360.0,4.8,85.0,0.29411764705882354,-5.7615344795792645,0.8212936339726885,0.018576148467116808,0.8272158570853574,0.18115676710536138,23.207222676399883
109,S057.5.2,199.5,25252525.0,5.0,33.0,0.3939393939393939,-5.554861423693055,0.6702620104192577,0.013996796386559174,0.8345849324395864,0.1814039034546557,22.143284296244666
110,S057.5.4,201.5,25252525.0,5.0,62.0,0.3064516129032258,-5.5287016554076684,0.7372942003459847,0.014201213903650409,0.8187828343441769,0.18749095110327718,22.477925540386416
111,S057.6.0,313.5,33670000.0,6.0,85.0,0.29411764705882354,-4.104117724519471,1.1146695924833872,0.0013891963448816678,0.598735557457561,0.2876327619397712,22.60138151025879
112,S057.6.2,315.5,33670000.0,6.0,33.0,0.39393939393939387,-3.975190070742211,0.8193785106108561,0.0013409505502029444,0.597720236801672,0.2906951118038938,21.94831406005713
