# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076E_FP004-RP004x_Set_I.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 10:55:32 AM EDT
# Run End Date/Time: 2022-07-20 12:51:31 PM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:32:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:32:41 PM EDT
"Well","Well Position","Cycle Number","TET","ROX","HEX","SUN"
"6","A6","16","186731.06","159261.78",,
"6","A6","17","199904.64","159162.9",,
"6","A6","18","211548.0","159026.6",,
"6","A6","19","222076.97","158987.78",,
"6","A6","20","230824.17","158936.1",,
"6","A6","21","238237.34","158716.98",,
"6","A6","22","244401.62","158638.6",,
"6","A6","23","249432.8","158569.44",,
"6","A6","24","253826.56","158513.25",,
"6","A6","25","257322.92","158531.38",,
"6","A6","26","260046.22","158720.92",,
"6","A6","27","262164.34","158586.34",,
"6","A6","28","264269.25","158670.56",,
"6","A6","29","266154.78","158508.5",,
"6","A6","30","268020.38","158378.02",,
"6","A6","31","269111.28","158410.23",,
"6","A6","32","270290.16","158297.39",,
"6","A6","33","271190.8","158615.78",,
"6","A6","34","272269.78","158720.56",,
"6","A6","35","273229.72","158599.27",,
"6","A6","36","274262.75","158624.52",,
"6","A6","37","275629.66","158506.02",,
"6","A6","38","276279.16","158424.62",,
"6","A6","39","277162.62","158420.95",,
"6","A6","40","278598.22","158576.5",,
"6","A6","41","280067.8","158630.0",,
"6","A6","42","281523.6","158652.83",,
"6","A6","43","283191.12","158523.7",,
"6","A6","44","285811.38","158457.45",,
"6","A6","45","289180.97","158381.17",,
"6","A6","46","293539.6","158220.05",,
"6","A6","47","299623.47","158276.22",,
"6","A6","48","306974.53","158380.02",,
"6","A6","49","316141.12","158257.39",,
"6","A6","50","326011.56","158233.44",,
"6","A6","51","336610.97","158173.45",,
"6","A6","52","347463.66","158164.8",,
"6","A6","53","358003.9","158045.78",,
"6","A6","54","368855.03","157871.6",,
"6","A6","55","379266.5","157881.64",,
"6","A6","56","389760.22","157906.78",,
"6","A6","57","399614.94","157880.98",,
"6","A6","58","409748.3","157801.23",,
"6","A6","59","419132.72","157887.6",,
"6","A6","60","428220.25","157745.45",,
"6","A6","61","437924.03","157675.02",,
"6","A6","62","447056.3","157457.98",,
"6","A6","63","456435.88","157435.73",,
"6","A6","64","466097.38","157316.39",,
"6","A6","65","475160.0","157346.86",,
"6","A6","66","483134.2","157467.97",,
"6","A6","67","492966.66","157305.16",,
"6","A6","68","501783.47","157172.12",,
"6","A6","69","508753.62","156860.58",,
"6","A6","70","519637.5","156005.45",,
"6","A6","71","535470.3","154989.12",,
"6","A6","72","552106.94","153456.78",,
"6","A6","73","569456.06","152329.31",,
"6","A6","74","587343.8","151418.34",,
"6","A6","75","601762.0","150779.89",,
"6","A6","76","613875.4","150379.95",,
"6","A6","77","625157.75","149998.28",,
"6","A6","78","634387.7","149795.47",,
"6","A6","79","642220.9","149624.72",,
"6","A6","80","650907.1","149228.69",,
"6","A6","81","657016.7","149022.48",,
"6","A6","82","661825.25","148870.9",,
"6","A6","83","666680.56","148761.95",,
"6","A6","84","671754.94","148685.53",,
"6","A6","85","675460.9","148477.75",,
"6","A6","86","678698.7","148270.83",,
"6","A6","87","681662.0","148164.9",,
"6","A6","88","685759.2","148071.7",,
"6","A6","89","688857.56","147936.75",,
"6","A6","90","690865.3","147903.8",,
"7","A7","1","84197.33","164766.89",,
"7","A7","2","83946.914","164200.08",,
"7","A7","3","83350.35","162854.7",,
"7","A7","4","82362.39","160354.02",,
"7","A7","5","81535.82","157974.81",,
"7","A7","6","80930.02","156321.61",,
"7","A7","7","80833.54","155140.02",,
"7","A7","8","81096.29","154413.88",,
"7","A7","9","82043.1","154059.28",,
"7","A7","10","83794.82","153816.92",,
"7","A7","11","87209.68","153569.2",,
"7","A7","12","93052.25","153215.98",,
"7","A7","13","102206.66","152973.52",,
"7","A7","14","115566.836","152891.84",,
"7","A7","15","133064.03","152705.27",,
"7","A7","16","152873.7","152552.88",,
"7","A7","17","171889.38","152310.52",,
"7","A7","18","188848.92","151981.47",,
"7","A7","19","202399.44","151761.27",,
"7","A7","20","212395.8","151712.48",,
"7","A7","21","220219.36","151790.84",,
"7","A7","22","226181.72","151760.77",,
"7","A7","23","230934.2","151708.44",,
"7","A7","24","235321.81","151656.44",,
"7","A7","25","239214.95","151454.77",,
"7","A7","26","242903.5","151299.16",,
"7","A7","27","246693.66","151349.06",,
"7","A7","28","250369.84","151348.0",,
"7","A7","29","253706.0","151338.17",,
"7","A7","30","256774.39","151227.03",,
"7","A7","31","260114.97","151194.27",,
"7","A7","32","263426.9","151270.36",,
"7","A7","33","266662.44","151186.52",,
"7","A7","34","269973.03","151225.81",,
