Variation,Probe,lg10_Copies,Well,WellName,Sample,MasterMix,Target,PrimerPair,Fluorophore,Quencher,Intermediate
3,SUN_Z_IBFQ,1,187,H19,JG076E_187,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,SUN,IBFQ,Z
4,SUN_Z_IBFQ,1,188,H20,JG076E_188,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,SUN,IBFQ,Z
5,SUN_Z_IBFQ,1,189,H21,JG076E_189,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,SUN,IBFQ,Z
6,SUN_Z_IBFQ,1,190,H22,JG076E_190,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,SUN,IBFQ,Z
7,SUN_Z_IBFQ,1,191,H23,JG076E_191,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,SUN,IBFQ,Z
9,SUN_Z_IBFQ,1,192,H24,JG076E_192,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,SUN,IBFQ,Z
1,SUN_IBFQ,8,193,I1,JG076E_193,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,SUN,IBFQ,None
2,SUN_IBFQ,8,194,I2,JG076E_194,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,SUN,IBFQ,None
3,SUN_IBFQ,8,195,I3,JG076E_195,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,SUN,IBFQ,None
4,SUN_IBFQ,8,196,I4,JG076E_196,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,SUN,IBFQ,None
5,SUN_IBFQ,8,197,I5,JG076E_197,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,SUN,IBFQ,None
6,SUN_IBFQ,8,198,I6,JG076E_198,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,SUN,IBFQ,None
7,SUN_IBFQ,8,199,I7,JG076E_199,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,SUN,IBFQ,None
9,SUN_IBFQ,8,200,I8,JG076E_200,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,SUN,IBFQ,None
