,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.0,S057.0.1,S057.1.2,log$_{1}$$_{0}$ S036.0,log$_{1}$$_{0}$ S057.0.1,log$_{1}$$_{0}$ S057.1.2
208,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,15,0.006606123,0.011568758636713028,100000000,100,100,8,2,2
209,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,15,-0.011642758,0.003858629,100000000,100,100,8,2,2
210,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,16,0.006757356,0.011934899725019932,100000000,100,100,8,2,2
211,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,16,-0.016804019,0.007337112,100000000,100,100,8,2,2
212,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,17,0.007434212,0.012751203961670399,100000000,100,100,8,2,2
213,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,17,-0.028946536,0.016388926655054092,100000000,100,100,8,2,2
214,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,18,0.006928388,0.012554618,100000000,100,100,8,2,2
215,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,18,-0.05105191,0.03339437,100000000,100,100,8,2,2
216,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,19,0.004529831,0.010737022385001183,100000000,100,100,8,2,2
217,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,19,-0.08940538,0.063371129,100000000,100,100,8,2,2
218,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,20,0.002105801,0.008897613,100000000,100,100,8,2,2
219,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,20,-0.140406249,0.1034446582198143,100000000,100,100,8,2,2
220,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,21,-0.001676707,0.00589475,100000000,100,100,8,2,2
221,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,21,-0.205231542,0.1545546054840088,100000000,100,100,8,2,2
222,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,22,-0.004175378,0.003991414,100000000,100,100,8,2,2
223,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,22,-0.280947906,0.21435920894145966,100000000,100,100,8,2,2
224,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,23,-0.007826977,0.001100668,100000000,100,100,8,2,2
225,JG071A,25,HEX,#NAME?,FALSE,B1,0,HEX,JG071A.000,UNKNOWN,,18.219646,49,23,-0.357870769,0.27512699365615845,100000000,100,100,8,2,2
226,JG071A,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071A.000,UNKNOWN,,inf,48,24,-0.011148586,-0.001507463,100000000,100,100,8,2,2
