col,row,Material,ng RNA,IFI44L Copies,EMRI Copies,Well,WellName,Sample,MasterMix
22,9,DNA,1,4.333333333333333,1.8900000000000001,239,J23,JG073N_239,TaqMan Fast Virus
23,9,DNA,1,4.333333333333333,,240,J24,JG073N_240,TaqMan Fast Virus
0,10,DNA,100,5.666666666666667,5.91,241,K1,JG073N_241,TaqMan Fast Virus
1,10,DNA,100,5.666666666666667,5.573333333333333,242,K2,JG073N_242,TaqMan Fast Virus
2,10,DNA,100,5.666666666666667,5.236666666666666,243,K3,JG073N_243,TaqMan Fast Virus
3,10,DNA,100,5.666666666666667,4.9,244,K4,JG073N_244,TaqMan Fast Virus
4,10,DNA,100,5.666666666666667,4.5633333333333335,245,K5,JG073N_245,TaqMan Fast Virus
5,10,DNA,100,5.666666666666667,4.226666666666667,246,K6,JG073N_246,TaqMan Fast Virus
6,10,DNA,100,5.666666666666667,3.8900000000000006,247,K7,JG073N_247,TaqMan Fast Virus
7,10,DNA,100,5.666666666666667,,248,K8,JG073N_248,TaqMan Fast Virus
8,10,DNA,10,4.666666666666667,4.91,249,K9,JG073N_249,TaqMan Fast Virus
9,10,DNA,10,4.666666666666667,4.573333333333333,250,K10,JG073N_250,TaqMan Fast Virus
10,10,DNA,10,4.666666666666667,4.236666666666666,251,K11,JG073N_251,TaqMan Fast Virus
11,10,DNA,10,4.666666666666667,3.9000000000000004,252,K12,JG073N_252,TaqMan Fast Virus
12,10,DNA,10,4.666666666666667,3.5633333333333335,253,K13,JG073N_253,TaqMan Fast Virus
13,10,DNA,10,4.666666666666667,3.2266666666666666,254,K14,JG073N_254,TaqMan Fast Virus
14,10,DNA,10,4.666666666666667,2.8900000000000006,255,K15,JG073N_255,TaqMan Fast Virus
15,10,DNA,10,4.666666666666667,,256,K16,JG073N_256,TaqMan Fast Virus
16,10,DNA,1,3.666666666666667,3.91,257,K17,JG073N_257,TaqMan Fast Virus
17,10,DNA,1,3.666666666666667,3.5733333333333333,258,K18,JG073N_258,TaqMan Fast Virus
18,10,DNA,1,3.666666666666667,3.2366666666666664,259,K19,JG073N_259,TaqMan Fast Virus
19,10,DNA,1,3.666666666666667,2.9000000000000004,260,K20,JG073N_260,TaqMan Fast Virus
20,10,DNA,1,3.666666666666667,2.5633333333333335,261,K21,JG073N_261,TaqMan Fast Virus
