,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0
201,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,11,-0.033169814,0.057412389665842056,100000000,100,10000,8,2,4
202,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,12,0.001394068,-6.96E-05,100000000,100,10000,8,2,4
203,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,12,-0.062427923,0.11163928359746933,100000000,100,10000,8,2,4
204,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,13,0.001316826,-0.000915941,100000000,100,10000,8,2,4
205,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,13,-0.104610983,0.1909497231245041,100000000,100,10000,8,2,4
206,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,14,0.001941704,-3.70E-05,100000000,100,10000,8,2,4
207,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,14,-0.160668359,0.29718613624572754,100000000,100,10000,8,2,4
208,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,15,0.002704619,0.001181239,100000000,100,10000,8,2,4
209,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,15,-0.22489603,0.41927871108055115,100000000,100,10000,8,2,4
210,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,16,0.004516153,0.004976293,100000000,100,10000,8,2,4
211,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,16,-0.290526726,0.5440941452980042,100000000,100,10000,8,2,4
212,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,17,0.00763346,0.011980132199823856,100000000,100,10000,8,2,4
213,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,17,-0.35086357,0.6586357355117798,100000000,100,10000,8,2,4
214,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,18,0.010983619,0.019556176,100000000,100,10000,8,2,4
215,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,18,-0.401576387,0.7544999718666077,100000000,100,10000,8,2,4
216,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,19,0.013971681,0.026242412626743317,100000000,100,10000,8,2,4
217,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,19,-0.442724608,0.8318020701408386,100000000,100,10000,8,2,4
218,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,20,0.016490524483149267,0.031775597,100000000,100,10000,8,2,4
219,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,20,-0.477236765,0.8962255716323853,100000000,100,10000,8,2,4
220,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,21,0.019503813,0.038523823,100000000,100,10000,8,2,4
221,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,21,-0.505416606,0.9483598470687866,100000000,100,10000,8,2,4
222,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,22,0.021812629,0.043540891259908676,100000000,100,10000,8,2,4
223,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,22,-0.528247927,0.9901142120361328,100000000,100,10000,8,2,4
224,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,23,0.02379475,0.047755141,100000000,100,10000,8,2,4
225,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,23,-0.549144461,1.0281137228012085,100000000,100,10000,8,2,4
226,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,24,0.027205656226605025,0.055480465,100000000,100,10000,8,2,4
227,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,24,-0.56803477,1.0622198581695557,100000000,100,10000,8,2,4
228,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,25,0.029914006410128962,0.061479341238737106,100000000,100,10000,8,2,4
229,JG074D,2,HEX,#NAME?,FALSE,A2,0,HEX,JG074D.002,UNKNOWN,,10.504574,3,25,-0.583262387,1.0892176628112793,100000000,100,10000,8,2,4
230,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,26,0.032443304,0.067038216,100000000,100,10000,8,2,4
