,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0,FAM-HEX
202,JG074D,102,FAM,#NAME?,FALSE,E6,0,FAM,JG074D.102,UNKNOWN,,18.114298,202,50,0.2585554920852515,0.5497759580612183,1000000,10000,100,6,4,2,-0.492635293
204,JG074D,103,FAM,#NAME?,FALSE,E7,0,FAM,JG074D.103,UNKNOWN,,16.018671,204,50,0.32023012535705003,0.6966850161552429,1000000,10000,10000,6,4,4,-0.349639111
206,JG074D,104,FAM,#NAME?,FALSE,E8,0,FAM,JG074D.104,UNKNOWN,,16.272877,206,50,0.36407148483047613,0.8101617097854614,1000000,10000,100000,6,4,5,-0.361968489
208,JG074D,105,FAM,#NAME?,FALSE,E9,0,FAM,JG074D.105,UNKNOWN,,16.064713,208,50,0.5699645389647852,1.3125227689743042,1000000,10000,1000000,6,4,6,-0.173629982
210,JG074D,106,FAM,#NAME?,FALSE,E10,0,FAM,JG074D.106,UNKNOWN,,12.217811,210,50,0.6297327320766415,1.417449712753296,1000000,10000,100000000,6,4,8,0.21360671960415556
212,JG074D,107,FAM,#NAME?,FALSE,E11,0,FAM,JG074D.107,UNKNOWN,,17.008898,212,50,0.2853499492129008,0.6238727569580078,1000000,100000,100,6,5,2,-0.428134126
214,JG074D,108,FAM,#NAME?,FALSE,E12,0,FAM,JG074D.108,UNKNOWN,,15.902165,214,50,0.3198430390883486,0.696571946,1000000,100000,10000,6,5,4,-0.403105768
216,JG074D,109,FAM,#NAME?,FALSE,E13,0,FAM,JG074D.109,UNKNOWN,,15.981015,216,50,0.36099003460809653,0.7928929328918457,1000000,100000,100000,6,5,5,-0.350754877
218,JG074D,110,FAM,#NAME?,FALSE,E14,0,FAM,JG074D.110,UNKNOWN,,15.680913,218,50,0.5580009641463483,1.2881784439086914,1000000,100000,1000000,6,5,6,-0.1883516
220,JG074D,111,FAM,#NAME?,FALSE,E15,0,FAM,JG074D.111,UNKNOWN,,12.146821,220,50,0.6616858431758975,1.502433419,1000000,100000,100000000,6,5,8,0.29343635486691116
222,JG074D,112,FAM,#NAME?,FALSE,E16,0,FAM,JG074D.112,UNKNOWN,,13.824208,222,50,0.3944738192580619,0.8442697525024414,1000000,1000000,100,6,6,2,-0.281242071
224,JG074D,113,FAM,#NAME?,FALSE,E17,0,FAM,JG074D.113,UNKNOWN,,14.061049,224,50,0.38660799300240994,0.8370632529258728,1000000,1000000,10000,6,6,4,-0.271231677
226,JG074D,114,FAM,#NAME?,FALSE,E18,0,FAM,JG074D.114,UNKNOWN,,14.23155,226,50,0.42886332977729474,0.922805905,1000000,1000000,100000,6,6,5,-0.235083616
228,JG074D,115,FAM,#NAME?,FALSE,E19,0,FAM,JG074D.115,UNKNOWN,,14.09243,228,50,0.6329649792035783,1.437727689743042,1000000,1000000,1000000,6,6,6,-0.077581316
230,JG074D,116,FAM,#NAME?,FALSE,E20,0,FAM,JG074D.116,UNKNOWN,,11.717497,230,50,0.7703364204764839,1.7886929512023926,1000000,1000000,100000000,6,6,8,0.4465061526573504
232,JG074D,117,FAM,#NAME?,FALSE,E21,0,FAM,JG074D.117,UNKNOWN,,7.564247,232,50,0.49629679243009456,1.2592118978500366,1000000,100000000,100,6,8,2,-0.064896532
