,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
446,JG074C,233,FAM,#NAME?,FALSE,J17,0,FAM,JG074C.233,UNKNOWN,,14.189065,464,3162,1000000,10000,3.499961866,6,4,50,0.6021908170329157,1.3046785593032837,0.17647380715014382
448,JG074C,234,FAM,#NAME?,FALSE,J18,0,FAM,JG074C.234,UNKNOWN,,14.657703,466,3162,1000000,100000,3.499961866,6,5,50,0.5242783912541101,1.118672490119934,0.094146981
450,JG074C,235,FAM,#NAME?,FALSE,J19,0,FAM,JG074C.235,UNKNOWN,,14.707041,468,3162,1000000,1000000,3.499961866,6,6,50,0.502205953,1.0518949031829834,0.052031649
452,JG074C,236,FAM,#NAME?,FALSE,J20,0,FAM,JG074C.236,UNKNOWN,,16.742125,470,3162,1000000,100000000,3.499961866,6,8,50,0.4727113980306925,1.0411237478256226,-0.033656735
454,JG074C,238,FAM,#NAME?,FALSE,J22,0,FAM,JG074C.238,UNKNOWN,,9.241868,474,3162,100000000,10000,3.499961866,8,4,50,0.6663547174922588,1.330113410949707,0.18445228344015285
456,JG074C,239,FAM,#NAME?,FALSE,J23,0,FAM,JG074C.239,UNKNOWN,,8.970618,476,3162,100000000,100000,3.499961866,8,5,50,0.5832570258364989,1.114621639251709,0.10548043700380955
458,JG074C,240,FAM,#NAME?,FALSE,J24,0,FAM,JG074C.240,UNKNOWN,,8.690013,478,3162,100000000,1000000,3.499961866,8,6,50,0.565753208,1.160986065864563,0.07528795
460,JG074C,241,FAM,#NAME?,FALSE,K1,0,FAM,JG074C.241,UNKNOWN,,17.565039,480,1000,100,100,3,2,2,50,0.7955137798174575,1.771641492843628,0.5047906900880899
462,JG074C,242,FAM,#NAME?,FALSE,K2,0,FAM,JG074C.242,UNKNOWN,,15.399358,482,1000,100,10000,3,2,4,50,0.5220453200116665,1.1361753940582275,0.12116915913924581
464,JG074C,243,FAM,#NAME?,FALSE,K3,0,FAM,JG074C.243,UNKNOWN,,16.13374,484,1000,100,100000,3,2,5,50,0.4871514395086283,1.030517816543579,0.070658745
466,JG074C,244,FAM,#NAME?,FALSE,K4,0,FAM,JG074C.244,UNKNOWN,,16.205666,486,1000,100,1000000,3,2,6,50,0.47684031026671553,1.017454981803894,0.059863317
468,JG074C,245,FAM,#NAME?,FALSE,K5,0,FAM,JG074C.245,UNKNOWN,,20.37416,488,1000,100,100000000,3,2,8,50,0.4624654853675592,1.0939741134643555,-0.073979072
470,JG074C,246,FAM,#NAME?,FALSE,K6,0,FAM,JG074C.246,UNKNOWN,,17.892515,490,1000,10000,100,3,4,2,50,0.7859567829554562,1.738330602645874,0.5176195262641157
472,JG074C,247,FAM,#NAME?,FALSE,K7,0,FAM,JG074C.247,UNKNOWN,,15.762776,492,1000,10000,10000,3,4,4,50,0.5333805412129485,1.1275800466537476,0.12592102225691143
474,JG074C,248,FAM,#NAME?,FALSE,K8,0,FAM,JG074C.248,UNKNOWN,,16.191448,494,1000,10000,100000,3,4,5,50,0.512157873,1.091645598,0.078455052
476,JG074C,249,FAM,#NAME?,FALSE,K9,0,FAM,JG074C.249,UNKNOWN,,16.251463,496,1000,10000,1000000,3,4,6,50,0.5017006736331113,1.055369257926941,0.060875907345453895
478,JG074C,250,FAM,#NAME?,FALSE,K10,0,FAM,JG074C.250,UNKNOWN,,20.65915,498,1000,10000,100000000,3,4,8,50,0.440862685,1.0387057065963745,-0.093627765
480,JG074C,251,FAM,#NAME?,FALSE,K11,0,FAM,JG074C.251,UNKNOWN,,17.610836,500,1000,100000,100,3,5,2,50,0.7778864062326796,1.7119910717010498,0.5175551079879168
482,JG074C,252,FAM,#NAME?,FALSE,K12,0,FAM,JG074C.252,UNKNOWN,,15.911014,502,1000,100000,10000,3,5,4,50,0.5200026370945766,1.108736276626587,0.11055981611430721
484,JG074C,253,FAM,#NAME?,FALSE,K13,0,FAM,JG074C.253,UNKNOWN,,16.373251,504,1000,100000,100000,3,5,5,50,0.4971646840805421,1.0574252605438232,0.056901225
486,JG074C,254,FAM,#NAME?,FALSE,K14,0,FAM,JG074C.254,UNKNOWN,,16.37743,506,1000,100000,1000000,3,5,6,50,0.5040329146459857,1.0646090507507324,0.068912988
488,JG074C,255,FAM,#NAME?,FALSE,K15,0,FAM,JG074C.255,UNKNOWN,,19.731985,508,1000,100000,100000000,3,5,8,50,0.4719509212899945,1.0694814920425415,-0.070026202
490,JG074C,256,FAM,#NAME?,FALSE,K16,0,FAM,JG074C.256,UNKNOWN,,15.637774,510,1000,1000000,100,3,6,2,50,0.7767588334681963,1.6837811470031738,0.44353155057305366
492,JG074C,257,FAM,#NAME?,FALSE,K17,0,FAM,JG074C.257,UNKNOWN,,14.208968,512,1000,1000000,10000,3,6,4,50,0.5498003714613657,1.1635351181030273,0.13141631686862565
494,JG074C,258,FAM,#NAME?,FALSE,K18,0,FAM,JG074C.258,UNKNOWN,,14.787173,514,1000,1000000,100000,3,6,5,50,0.5216562263703708,1.105413794517517,0.095431118
496,JG074C,259,FAM,#NAME?,FALSE,K19,0,FAM,JG074C.259,UNKNOWN,,14.712681,516,1000,1000000,1000000,3,6,6,50,0.49749066794363167,1.040761113166809,0.075039742
498,JG074C,260,FAM,#NAME?,FALSE,K20,0,FAM,JG074C.260,UNKNOWN,,16.68581,518,1000,1000000,100000000,3,6,8,50,0.4751573583563953,1.0687679052352905,-0.01427619
500,JG074C,262,FAM,#NAME?,FALSE,K22,0,FAM,JG074C.262,UNKNOWN,,9.125049,522,1000,100000000,10000,3,8,4,50,0.5753812989583557,1.2065562009811401,0.10029974172111861
502,JG074C,263,FAM,#NAME?,FALSE,K23,0,FAM,JG074C.263,UNKNOWN,,8.867872,524,1000,100000000,100000,3,8,5,50,0.5415942011392376,1.090488314628601,0.057017916
504,JG074C,264,FAM,#NAME?,FALSE,K24,0,FAM,JG074C.264,UNKNOWN,,8.719647,526,1000,100000000,1000000,3,8,6,50,0.5452183134158952,1.154082179069519,0.052428069
506,JG074C,265,FAM,#NAME?,FALSE,L1,0,FAM,JG074C.265,UNKNOWN,,17.449152,528,316,100,100,2.499687082618404,2,2,50,0.7171473281328317,1.6083056926727295,0.3961649240571233
508,JG074C,266,FAM,#NAME?,FALSE,L2,0,FAM,JG074C.266,UNKNOWN,,15.476681,530,316,100,10000,2.499687082618404,2,4,50,0.5237900879106064,1.1393847465515137,0.14791223534665043
510,JG074C,267,FAM,#NAME?,FALSE,L3,0,FAM,JG074C.267,UNKNOWN,,16.15098,532,316,100,100000,2.499687082618404,2,5,50,0.504916816,1.0643715858459473,0.086907955
