,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ
202,S067_0d89c8_c_LVM_3,FP002-RP001x,FAM,243.0,22222000.0,6.0,70.0,0.5428571428571428,-4.98342649310169,0.6286943348843703,0.045243068565784694,0.8086017716625857,0.19491770118014368,20.478418211329785
203,S067_0d89c8_d_Avg_0,FP004-RP002x,EVAGREEN,91.0,15873014.285714285,5.0,45.0,0.4666666666666667,-6.965738560217619,0.21829578501976235,0.0017198856887126988,0.7537158804962686,0.19100246324438733,30.662199177975832
204,S067_0d89c8_d_Avg_2,FP004-RP002x,EVAGREEN,88.0,13888888.75,4.5,58.0,0.2413793103448276,-5.8705976477824855,0.3284601269886286,0.0010912328830833878,0.868615461871047,0.16468925683184904,22.46845064681469
205,S067_0d89c8_d_Avg_3,FP004-RP002x,EVAGREEN,52.0,22222000.0,6.0,65.0,0.24615384615384617,-4.94222121061603,0.378068667523016,0.001389190406079161,0.7680653421881123,0.20964348635793634,21.301702276050808
206,S067_0d89c8_d_LVM_0,FP004-RP002x,EVAGREEN,283.0,15873014.285714285,5.0,43.0,0.23255813953488372,-5.551404194917387,0.1811983063126477,0.001384199653775441,0.7819866524012399,0.19985356559105488,24.670103394481146
207,S067_0d89c8_d_LVM_2,FP004-RP002x,EVAGREEN,280.0,13888888.75,4.5,28.0,0.42857142857142855,-6.170358586753205,0.2645460811560172,0.0008024787815480429,0.8204327378912533,0.17695870067695396,25.05268085857116
208,S067_0d89c8_d_LVM_3,FP004-RP002x,EVAGREEN,244.0,22222000.0,6.0,43.0,0.4883720930232558,-4.870788066013991,0.3435961779186847,0.0007363787210077564,0.7281593936420311,0.22369290501394054,22.212841255359084
209,S067_0d89c8_e_Avg_0,FP004-RP004,HEX,92.0,15873014.285714285,5.0,94.0,0.40425531914893614,-5.423752283682999,0.4389424916577306,0.014664496405604702,0.7569875742940539,0.2064668720897219,23.849715615606215
210,S067_0d89c8_e_Avg_1,FP004-RP004,HEX,93.42857142857143,15873001.42857143,4.857142857142857,78.0,0.32051282051282054,-9.07327155567631,0.5156574365670467,0.016041612828669904,0.8395648035862725,0.1667451268524356,39.750347174846425
211,S067_0d89c8_e_Avg_2,FP004-RP004,HEX,89.0,13888888.75,4.5,66.0,0.36363636363636365,-5.856286769059608,0.7314567788863702,0.010065594168472271,0.8949596529860804,0.15762462393745527,21.773729938093613
212,S067_0d89c8_e_Avg_3,FP004-RP004,HEX,53.0,22222000.0,6.0,59.0,0.4915254237288136,-4.989765263569682,0.6777616457852998,0.008619730784163495,0.8135868057028036,0.19344308091669266,20.358316822738296
213,S067_0d89c8_e_LVM_0,FP004-RP004,HEX,284.0,15873014.285714285,5.0,162.0,0.25925925925925924,-7.434909805319212,0.4637918600566091,0.021331533994878086,0.7602050172354927,0.18598478974590962,32.494854165668364
214,S067_0d89c8_e_LVM_1,FP004-RP004,HEX,288.0,13888888.75,4.5,68.0,0.5441176470588235,-6.679365052575802,0.45363009836907653,0.014634200576070584,0.6989861375302815,0.21901336840909463,32.36327284517887
215,S067_0d89c8_e_LVM_2,FP004-RP004,HEX,281.0,13888888.75,4.5,127.0,0.3543307086614173,-5.761241896090294,0.73103291591523,0.008627500781259808,0.8290026362791934,0.17909638989271467,23.06550748287673
216,S067_0d89c8_e_LVM_3,FP004-RP004,HEX,245.0,22222000.0,6.0,76.0,0.4605263157894736,-4.9727614671325515,0.6887887243603837,0.01091780405926902,0.7808659899139725,0.20468511121572952,21.162846511071656
217,S067_0d89c8_α_Avg_0,FP001-RP001x,EVAGREEN,86.0,15873014.285714285,5.0,45.0,0.4666666666666667,-7.21614737359677,0.3093011040185729,0.0006823986479115567,0.8256783534992849,0.16630100505138182,29.076712580701532
218,S067_0d89c8_α_Avg_2,FP001-RP001x,EVAGREEN,90.0,13888888.75,4.5,47.0,0.5106382978723404,-4.441604928271373,0.2791097917199469,0.00039566717407482676,0.5959971259975478,0.28567323758228175,26.543627436203792
219,S067_0d89c8_α_Avg_3,FP001-RP001x,EVAGREEN,54.0,22222000.0,6.0,74.0,0.25675675675675674,-6.019877652463119,0.30317914089906983,0.0003009205866710711,0.9875482625968821,0.12753269070876744,20.29255315613271
220,S067_0d89c8_α_LVM_0,FP001-RP001x,EVAGREEN,278.0,15873014.285714285,5.0,98.0,0.23469387755102042,-8.09761429940111,0.4410855669085085,0.0011359759574186379,0.9107929752588644,0.1365724840837442,29.506156271273337
221,S067_0d89c8_α_LVM_1,FP001-RP001x,EVAGREEN,278.0,13888888.75,4.5,182.0,0.21978021978021978,-6.143559529011132,0.5332827117586648,0.0008777271395669743,0.7663175614370822,0.19919780451123037,26.370318697955895
222,S067_0d89c8_α_LVM_2,FP001-RP001x,EVAGREEN,282.0,13888888.75,4.5,198.0,0.2222222222222222,-5.960404872903349,0.5545525199148318,0.00045891689787194966,0.8328849226838464,0.1756682419607581,23.775414187173812
223,S067_0d89c8_α_LVM_3,FP001-RP001x,EVAGREEN,246.0,22222000.0,6.0,137.0,0.21897810218978103,-5.830345795720566,0.42821109712631733,0.0001721848702710627,0.9159964350314113,0.1514216430958531,21.12408289051467
224,S067_0d89c8_β_Avg_0,FP002-RP002x,EVAGREEN,87.0,15873014.285714285,5.0,45.0,0.4666666666666667,-6.136733887357978,0.25265791225362233,0.0009820599437247162,0.7256001815523813,0.20729308986811978,28.107012187597103
225,S067_0d89c8_β_Avg_2,FP002-RP002x,EVAGREEN,91.0,13888888.75,4.5,47.0,0.5319148936170213,-5.215140851273052,0.25501535828920047,0.0013183026031006494,0.7296284383629069,0.21739943377751225,23.74156574421485
226,S067_0d89c8_β_LVM_0,FP002-RP002x,EVAGREEN,279.0,15873014.285714285,5.0,41.0,0.4634146341463415,-7.138599177982095,0.21650627693936,0.0018907452474630497,0.8106394298390327,0.17159026289616644,29.253077231257016
227,S067_76f36b_a_Avg_0,FP001-RP001x,FAM,99.0,18351850.0,4.833333333333333,102.0,0.39215686274509803,-6.637161548469902,0.7257562542030387,0.0119451028546951,0.8251880715128079,0.17215490879514328,26.708920305314845
228,S067_76f36b_a_Avg_1,FP001-RP001x,FAM,82.0,18518335.0,5.166666666666667,66.0,0.4696969696969697,-4.428658075013135,0.6255801534180251,0.022694303633263958,0.7358772345916083,0.2575245007572707,24.20249165268595
229,S067_76f36b_a_Avg_2,FP001-RP001x,FAM,92.0,13888888.75,4.5,53.0,0.24528301886792453,-6.042382153590396,0.8165336150640972,0.014885456524991294,0.9084627831191178,0.1515964608754958,22.15439183408943
230,S067_76f36b_a_Avg_3,FP001-RP001x,FAM,56.0,22222000.0,6.0,58.0,0.24137931034482757,-5.531665428077629,0.7326396199731031,0.02320277155952065,0.9600749945938439,0.14042004504275274,19.16138091866235
231,S067_76f36b_a_LVM_0,FP001-RP001x,FAM,287.0,15873014.285714285,5.0,56.0,0.39285714285714285,-5.91524997426158,0.6724957476640855,0.021627729000221557,0.9237750683518734,0.14777619251170698,21.27936184275776
232,S067_76f36b_a_LVM_1,FP001-RP001x,FAM,280.0,13888888.75,4.5,78.0,0.3333333333333333,-5.222596943788347,0.6900376577283862,0.026510494372942096,0.8051544886890597,0.2205991482069644,30.090345107119568
233,S067_76f36b_a_LVM_2,FP001-RP001x,FAM,284.0,13888888.75,4.5,117.0,0.3333333333333333,-5.621635700794063,0.7996532070601384,0.012963480277400486,0.8779616959403074,0.1648616381359251,21.229141121188164
