,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ,,
366,S_PRDM1_WTa,FP003-RP003,HEX,191,25252525,5,97,0.5257731958762887,-4.581233634,0.5475642032849948,0.021581301,0.6340751447465682,0.26507500618135865,23.981281902062275,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,,lg10_Copies,BP,GC,F0_lg,K,m,r,,_,_
296,0.179667,27.366314,,,,,,,,,,,,,,
297,0.219413,24.004468,,,,,,,,,,,,,,
298,0.130663,20.108225,,,,,,,,,,,,,,
299,0.12987,28.025003,,,,,,,,,,,,,,
300,0.184822,27.841443,,,,,,,,,,,,,,
301,0.195246,20.857957,,,,,,,,,,,,,,
302,0.148768,19.843335,,,,,,,,,,,,,,
334,0.151784,29.016199,,,,,,,,,,,,,,
335,0.11864,22.978668,,,,,,,,,,,,,,
336,0.136777,21.053574,,,,,,,,,,,,,,
337,0.185574,29.879286,,,,,,,,,,,,,,
338,0.180277,28.825204,,,,,,,,,,,,,,
339,0.178569,21.826441,,,,,,,,,,,,,,
340,0.201392,22.56038,,,,,,,,,,,,,,
WideData:,,,,,,,,,,,,,,,,
,outputs:,"['F0_lg',","'r',","'K',",'m'],,,,,,,,,,,
,inputs:,"['Target',","'PrimerPair',","'Reporter',","'Well',","'Copies',","'lg10_Copies',","'BP',","'GC',","'_',",'_'],,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,\,,,,,,,,,,
110,S056.2.1,FP002-RP002x,EVAGREEN,325.5,2.53E+07,,,,,,,,,,,
115,S056.2.2,FP002-RP002x,EVAGREEN,327.5,2.53E+07,,,,,,,,,,,
117,S056.2.3,FP002-RP002x,EVAGREEN,329.5,2.53E+07,,,,,,,,,,,
119,S056.2.4,FP002-RP002x,EVAGREEN,331.5,2.53E+07,,,,,,,,,,,
121,S056.2.5,FP002-RP002x,EVAGREEN,316.7,4.04E+07,,,,,,,,,,,
123,S056.2.6,FP002-RP002x,EVAGREEN,335.5,2.53E+07,,,,,,,,,,,
125,S056.2.7,FP002-RP002x,EVAGREEN,332.357143,2.89E+07,,,,,,,,,,,
127,S056.2.8,FP002-RP002x,EVAGREEN,339.5,2.53E+07,,,,,,,,,,,
224,S067_0d89c8___Avg_0,FP002-RP002x,EVAGREEN,87,1.59E+07,,,,,,,,,,,
225,S067_0d89c8___Avg_2,FP002-RP002x,EVAGREEN,91,1.39E+07,,,,,,,,,,,
226,S067_0d89c8___LVM_0,FP002-RP002x,EVAGREEN,279,1.59E+07,,,,,,,,,,,
303,S067_8a718d___Avg_0,FP002-RP002x,EVAGREEN,74,1.59E+07,,,,,,,,,,,
304,S067_8a718d___Avg_3,FP002-RP002x,EVAGREEN,66,2.22E+07,,,,,,,,,,,
305,S067_8a718d___LVM_0,FP002-RP002x,EVAGREEN,266,1.59E+07,,,,,,,,,,,
306,S067_8a718d___LVM_1,FP002-RP002x,EVAGREEN,282,1.39E+07,,,,,,,,,,,
307,S067_8a718d___LVM_3,FP002-RP002x,EVAGREEN,258,2.22E+07,,,,,,,,,,,
341,S067_b12a22___Avg_0,FP002-RP002x,EVAGREEN,81,1.59E+07,,,,,,,,,,,
342,S067_b12a22___Avg_2,FP002-RP002x,EVAGREEN,108,1.39E+07,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,lg10_Copies,BP,GC,F0_lg,K,m,r,\,,,,,,,,
110,5,80,0.3375,-5.103986,0.889936,0.001791,0.811478,,,,,,,,,
115,5,232,0.413793,-3.511764,2.921838,0.001875,0.585297,,,,,,,,,
117,5,272,0.672794,-3.257986,3.466024,0.003057,0.461468,,,,,,,,,
119,5,152,0.203947,-4.127461,2.182007,0.002441,0.640374,,,,,,,,,
121,6.4,49,0.755102,-5.34279,1.112493,0.001092,0.533366,,,,,,,,,
123,5,152,0.592105,-3.446151,2.417994,0.002623,0.511567,,,,,,,,,
125,5.428571,84,0.797619,-5.594043,1.757895,0.005357,0.749123,,,,,,,,,
127,5,36,0.444444,-5.222479,1.269218,0.00313,0.811335,,,,,,,,,
224,5,45,0.466667,-6.136734,0.252658,0.000982,0.7256,,,,,,,,,
225,4.5,47,0.531915,-5.215141,0.255015,0.001318,0.729628,,,,,,,,,
226,5,41,0.463415,-7.138599,0.216506,0.001891,0.810639,,,,,,,,,
303,5,45,0.444444,-6.440953,0.249966,0.001754,0.729576,,,,,,,,,
304,6,74,0.256757,-5.671362,0.263845,0.001203,0.876123,,,,,,,,,
