,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence
2781,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,41,-0.39063754413296586,0.7465028762817383
2782,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,42,0.5162152645448305,1.0990757942199707
2783,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,42,-0.3959665469680031,0.7562295794487
2784,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,43,0.5244265157863094,1.1151896715164185
2785,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,43,-0.4016000192850849,0.7665558457374573
2786,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,44,0.5317076185678292,1.1291340589523315
2787,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,44,-0.4063424795195234,0.7751274108886719
2788,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,45,0.539418681171592,1.1440813541412354
2789,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,45,-0.4121972521201747,0.7858895659446716
2790,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,46,0.5497692023132319,1.1651846170425415
2791,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,46,-0.4180688522587999,0.7966848015785217
2792,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,47,0.5604772566166156,1.1871217489242554
2793,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,47,-0.42199196877376427,0.803642749786377
2794,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,48,0.5698830110732416,1.2060215473175049
2795,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,48,-0.4265015068279031,0.8117555975914001
2796,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,49,0.5772606145851935,1.2201911211013794
2797,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,49,-0.4326421659819732,0.8230807185173035
2798,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,50,0.5863920473150033,1.2384510040283203
2799,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,50,-0.4367150960094744,0.8303337097167969
6840,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,1,-0.005998327976618507,0.0006289834273047745
6841,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,1,0.00322260971609142,0.0029090556781738997
6842,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,2,-0.005365527503570699,-0.00015660921053495258
6843,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,2,0.002464961924961994,0.00288761081174016
6844,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,3,-0.004221268047965412,0.0002506659075152129
6845,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,3,0.00214930939385031,0.0019956997130066156
6846,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,4,-0.0032852927430543463,0.00017216318519786
6847,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,4,0.00256507972283509,-0.00033667683601379395
6848,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,5,-0.0025245444662702664,-0.0003150187840219587
6849,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,5,0.0021212382760971973,-0.0009761325200088322
6850,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,6,-0.0015747304045983519,-0.0003612455911934376
6851,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,6,0.0013732905315875805,-0.0010166807333007455
